Key,Screen/Context,English,Urdu,Roman Urdu,Notes
chatEditHint,Chat & Support,Edit your message...,اپنا پیغام تبدیل کریں...,Apna message edit karein...,
chatDeleteMessage,Chat & Support,Delete message,پیغام ڈیلیٹ کریں,Message delete karein,
chatDeleteConfirm,Chat & Support,This message will be deleted for everyone in the chat.,یہ پیغام چیٹ میں سب کے لیے ڈیلیٹ ہو جائے گا۔,Ye message chat mein sab ke liye delete ho jayega.,
chatMicPermissionRequired,Chat & Support,Microphone permission is needed to send a voice message.,وائس میسج بھیجنے کے لیے مائیکروفون کی اجازت درکار ہے۔,Voice message bhejne ke liye microphone ki ijazat chahiye.,
chatLocationPermissionDenied,Chat & Support,Location permission denied,لوکیشن کی اجازت نہیں دی گئی,Location ki ijazat nahi di gayi,
chatLocationPermissionPermanentlyDenied,Chat & Support,Location permission permanently denied — enable it in Settings,لوکیشن کی اجازت مستقل بند ہے — سیٹنگز میں جا کر آن کریں,Location ki ijazat permanently band hai — Settings mein jaa kar on karein,
chatLocationFailed,Chat & Support,Could not get your location: {error},آپ کی لوکیشن حاصل نہیں ہو سکی: {error},Aap ki location nahi mil saki: {error},Placeholders: {error}
weekdayMon,Core / Date formatting,Mon,پیر,Peer,
weekdayTue,Core / Date formatting,Tue,منگل,Mangal,
weekdayWed,Core / Date formatting,Wed,بدھ,Budh,
weekdayThu,Core / Date formatting,Thu,جمعرات,Jumeraat,
weekdayFri,Core / Date formatting,Fri,جمعہ,Juma,
weekdaySat,Core / Date formatting,Sat,ہفتہ,Hafta,
weekdaySun,Core / Date formatting,Sun,اتوار,Itwar,
commonContinue,Shared,Continue,آگے بڑھیں,Aage Barhein,
commonNotNow,Shared,Not now,ابھی نہیں,Abhi nahi,
commonToday,Shared,Today,آج,Aaj,
commonOpenSettings,Shared,Open Settings,سیٹنگز کھولیں,Settings kholein,
permissionsTitle,Core / Permissions,Allow permissions,اجازتیں دیں,Ijazat dein,
permissionsRationale,Core / Permissions,"HandyGo needs camera, microphone, and location permissions so you can upload photos and videos, send voice notes, and share or track job location.",HandyGo کو کیمرہ، مائیکروفون اور لوکیشن کی اجازت چاہیے تاکہ آپ تصاویر اور ویڈیو بھیج سکیں، وائس نوٹ بھیج سکیں، اور کام کی لوکیشن شیئر یا ٹریک کر سکیں۔,"HandyGo ko camera, microphone aur location ki ijazat chahiye taake aap photos aur videos bhej sakein, voice note bhej sakein, aur kaam ki location share ya track kar sakein.",
permissionsBlockedTitle,Core / Permissions,Permissions blocked,اجازتیں بند ہیں,Ijazat band hai,
permissionsBlockedBody,Core / Permissions,Some permissions were permanently denied. Open Settings to enable them manually.,کچھ اجازتیں مستقل طور پر بند کر دی گئی ہیں۔ انہیں دوبارہ آن کرنے کے لیے سیٹنگز کھولیں۔,Kuch ijazat permanently band kar di gayi hain. Unhein dobara on karne ke liye Settings kholein.,
generalInfoTitle,Settings / General info,General,جنرل,General,
generalAccountSection,Settings / General info,Account Info,اکاؤنٹ کی معلومات,Account ki maloomat,
generalFirstName,Settings / General info,First Name,پہلا نام,Pehla Naam,
generalLastName,Settings / General info,Last Name,آخری نام,Aakhri Naam,
generalPhoneNumber,Settings / General info,Phone Number,فون نمبر,Phone Number,
generalNamePhoneLocked,Settings / General info,Name and phone are managed by your account and cannot be changed here.,نام اور فون نمبر آپ کے اکاؤنٹ سے منسلک ہیں اور یہاں سے تبدیل نہیں کیے جا سکتے۔,Naam aur phone number aap ke account se juday hain aur yahan se change nahi ho sakte.,
generalSecuritySection,Settings / General info,Security,سیکیورٹی,Security,
generalChangePassword,Settings / General info,Change Password,پاس ورڈ تبدیل کریں,Password Change Karein,
generalCurrentPassword,Settings / General info,Current Password,موجودہ پاس ورڈ,Mojooda Password,
generalNewPassword,Settings / General info,New Password,نیا پاس ورڈ,Naya Password,
generalConfirmNewPassword,Settings / General info,Re-enter new password,نیا پاس ورڈ دوبارہ لکھیں,Naya Password Dobara Likhein,
generalChangePasswordComingSoon,Settings / General info,Changing your password in the app is coming soon. Contact support if you need help right away.,ایپ میں پاس ورڈ تبدیل کرنے کی سہولت جلد آ رہی ہے۔ فوری مدد کے لیے سپورٹ سے رابطہ کریں۔,App mein password change karne ki sahulat jald aa rahi hai. Foran madad ke liye support se raabta karein.,
generalUpdatePassword,Settings / General info,Update Password,پاس ورڈ اپ ڈیٹ کریں,Password Update Karein,
distanceAtYourLocation,Core / Distance formatting,Right at your location,بالکل آپ کی جگہ پر,Bilkul aap ki jagah par,
distanceMetersAway,Core / Distance formatting,{meters} m away,{meters} میٹر دور,{meters} m door,Placeholders: {meters}
distanceKmAway,Core / Distance formatting,{km} km away,{km} کلومیٹر دور,{km} km door,Placeholders: {km}
distanceUnderOneKm,Core / Distance formatting,< 1 km away,1 کلومیٹر سے کم,1 km se kam,
notificationsTitle,Notifications,Notifications,اطلاعات,Notifications,
notificationsMarkAllRead,Notifications,Mark all read,سب پڑھا ہوا نشان زد کریں,Sab read mark karein,
notificationsEmptyTitle,Notifications,No notifications yet,ابھی کوئی اطلاع نہیں,Abhi koi notification nahi,
notificationsEmptySubtitle,Notifications,"You will be notified about job updates,
reviews, and more.",کام کی اپ ڈیٹس، ریویوز اور مزید کی اطلاع آپ کو دی جائے گی۔,"Kaam ki updates, reviews aur mazeed ki ittila aap ko di jayegi.",
timeJustNow,Core / Relative time,Just now,ابھی ابھی,Abhi abhi,
timeMinutesAgo,Core / Relative time,{minutes}m ago,{minutes} منٹ پہلے,{minutes}m pehle,Placeholders: {minutes}
timeHoursAgo,Core / Relative time,{hours}h ago,{hours} گھنٹے پہلے,{hours}h pehle,Placeholders: {hours}
workerRatingNew,Ustaad,New worker,نیا استاد,Naya Ustaad,
workerRatingNone,Ustaad,No rating,کوئی ریٹنگ نہیں,Koi rating nahi,
workerRatingWithJobs,Ustaad,"{rating} ({count, plural, =1{{count} job} other{{count} jobs}})","{rating} ({count, plural, =1{{count} کام} other{{count} کام}})","{rating} ({count, plural, =1{{count} kaam} other{{count} kaam}})","Placeholders: {count}, {rating} | ICU plural — keep the plural syntax intact"
chatSeen,Chat & Support,Seen,دیکھ لیا,Dekh liya,
chatMessageDeleted,Chat & Support,This message was deleted,یہ پیغام ڈیلیٹ کر دیا گیا,Ye message delete kar diya gaya,
chatEdited,Chat & Support,edited,تبدیل شدہ,edited,
chatCouldNotOpenMaps,Chat & Support,Could not open maps,نقشہ نہیں کھل سکا,Map nahi khul saka,
chatSharedLocation,Chat & Support,Shared location,لوکیشن بھیجی گئی,Location bheji gayi,
chatComposerHint,Chat & Support,Type a message...,پیغام لکھیں...,Message likhein...,
chatAttachPhoto,Chat & Support,Photo,تصویر,Photo,
chatAttachVideo,Chat & Support,Video,ویڈیو,Video,
chatAttachVoice,Chat & Support,Voice,وائس,Voice,
chatAttachLocation,Chat & Support,Location,لوکیشن,Location,
chatTakePhoto,Chat & Support,Take Photo,تصویر لیں,Photo lein,
chatRecordVideo,Chat & Support,Record Video,ویڈیو بنائیں,Video banayein,
monthJan,Core / Date formatting,Jan,جنوری,Jan,
monthFeb,Core / Date formatting,Feb,فروری,Feb,
monthMar,Core / Date formatting,Mar,مارچ,Mar,
monthApr,Core / Date formatting,Apr,اپریل,Apr,
monthMay,Core / Date formatting,May,مئی,May,
monthJun,Core / Date formatting,Jun,جون,Jun,
monthJul,Core / Date formatting,Jul,جولائی,Jul,
monthAug,Core / Date formatting,Aug,اگست,Aug,
monthSep,Core / Date formatting,Sep,ستمبر,Sep,
monthOct,Core / Date formatting,Oct,اکتوبر,Oct,
monthNov,Core / Date formatting,Nov,نومبر,Nov,
monthDec,Core / Date formatting,Dec,دسمبر,Dec,
dateDayMonthYear,Core / Date formatting,{day} {month} {year},{day} {month} {year},{day} {month} {year},"Placeholders: {day}, {month}, {year}"
authPasswordResetSuccess,Authentication,Your password has been changed successfully.,آپ کا پاس ورڈ کامیابی سے تبدیل ہو گیا ہے۔,Aap ka password kamyabi se badal diya gaya hai.,
authForgotPasswordPrompt,Authentication,Enter your registered mobile number,اپنا رجسٹرڈ موبائل نمبر لکھیں,Apna registered mobile number dalain,
authSendOtp,Authentication,Send OTP,OTP بھیجیں,OTP Bhejein,
authNewPasswordRequired,Authentication,Please enter a new password.,نیا پاس ورڈ لکھیں۔,Naya password likhein.,
authOr,Authentication,Or,یا,Ya phir,
authLoginWithPassword,Authentication,Log In With Password,پاس ورڈ سے لاگ اِن کریں,Password Se Login Karein,
authWorkerRegisterTitle,Authentication,"Create a new Ustaad
account","نیا استاد اکاؤنٹ
بنائیں","Naya Ustaad account
banayein",
authCnicNameHint,Authentication,Enter your full name exactly as on your CNIC,اپنا پورا نام بالکل ویسے لکھیں جیسے آپ کے شناختی کارڈ پر ہے,Apne CNIC wala poora naam dalain,
authCreatePasswordLabel,Authentication,Create a password,پاس ورڈ بنائیں,Password banayein,
authSelectSkill,Authentication,Select your skill,اپنی مہارت منتخب کریں,Apni skill select karein,
authSkillsLoadFailed,Authentication,Skills could not load. Please try again.,مہارتیں لوڈ نہیں ہو سکیں۔ دوبارہ کوشش کریں۔,Skills load nahi ho sakin. Dobara koshish karein.,
authSkillRequired,Authentication,Please select a skill.,کوئی مہارت منتخب کریں۔,Skill select karein.,
authConfirmNewPasswordButton,Authentication,Confirm New Password,نیا پاس ورڈ کنفرم کریں,Naya Password Confirm Karein,
postJobOffersSoon,Uncategorised,You will start getting Ustaad offers within minutes.,چند ہی منٹ میں آپ کو استادوں کی آفرز ملنا شروع ہو جائیں گی۔,Chand hi minute mein aap ko Ustaad ki offers milna shuru ho jayengi.,
postJobSelectDateTimeFirst,Uncategorised,Select date and time to continue.,آگے بڑھنے کے لیے تاریخ اور وقت منتخب کریں۔,Aage barhne ke liye date aur time chunain.,
postJobGoesLiveAt,Uncategorised,Job goes live at {time} on {date} — 1 hour before the Ustaad arrival time.,کام {date} کو {time} بجے لائیو ہوگا — استاد کے پہنچنے کے وقت سے ایک گھنٹہ پہلے۔,Kaam {date} ko {time} baje live hoga — Ustaad ke pohanchne ke waqt se ek ghanta pehle.,"Placeholders: {date}, {time}"
postJobAddPhotoVideo,Uncategorised,Add Photo/Video,تصویر یا ویڈیو شامل کریں,Photo/Video shamil karein,
postJobChoosePhoto,Uncategorised,Choose Photo,تصویر منتخب کریں,Photo chunain,
postJobChooseVideo,Uncategorised,Choose Video - 30 sec,ویڈیو منتخب کریں - 30 سیکنڈ,Video chunain - 30 sec,
postJobCamera,Uncategorised,Camera,کیمرہ,Camera,
postJobRecordVideo30,Uncategorised,Record Video - 30 sec,ویڈیو بنائیں - 30 سیکنڈ,Video banayein - 30 sec,
errorNoInternet,Core / Errors,No internet connection. Please check your network.,انٹرنیٹ کنکشن نہیں ہے۔ اپنا نیٹ ورک چیک کریں۔,Internet connection nahi hai. Apna network check karein.,
postJobSaveFailed,Uncategorised,Unable to save booking. Please try again.,بکنگ محفوظ نہیں ہو سکی۔ دوبارہ کوشش کریں۔,Booking save nahi ho saki. Dobara koshish karein.,
postJobBookingUpdatedTitle,Uncategorised,Booking Updated!,بکنگ اپ ڈیٹ ہو گئی!,Booking update ho gayi!,
postJobBookingUpdatedBody,Uncategorised,Your booking details have been updated successfully.,آپ کی بکنگ کی تفصیلات کامیابی سے اپ ڈیٹ ہو گئی ہیں۔,Aap ki booking ki tafseelat kamyabi se update ho gayi hain.,
postJobViewBooking,Uncategorised,View Booking,بکنگ دیکھیں,Booking dekhein,
postJobSelectService,Uncategorised,Select Service,سروس منتخب کریں,Service chunain,
postJobServicesLoadFailed,Uncategorised,Failed to load services. Please restart the app.,سروسز لوڈ نہیں ہو سکیں۔ ایپ دوبارہ کھولیں۔,Services load nahi ho sakin. App dobara kholein.,
postJobBookingType,Uncategorised,Booking Type,بکنگ کی قسم,Booking ki qism,
postJobNormal,Uncategorised,Normal,عام,Normal,
postJobUrgent,Uncategorised,Urgent,فوری,Urgent,
postJobDateTime,Uncategorised,Date & Time,تاریخ اور وقت,Date aur Time,
postJobArrivalTime,Uncategorised,Arrival time,پہنچنے کا وقت,Pohanchne ka waqt,
postJobWhatNeedsFixing,Uncategorised,What needs fixing?,کیا ٹھیک کرانا ہے؟,Kya theek karana hai?,
postJobIssueHint,Uncategorised,"e.g. AC not cooling, water leaking, switch not working",مثلاً اے سی ٹھنڈا نہیں کر رہا، پانی لیک ہو رہا ہے، سوئچ کام نہیں کر رہا,"Maslan AC thanda nahi kar raha, paani leak ho raha hai, switch kaam nahi kar raha",
postJobDescription,Uncategorised,Description,تفصیل,Tafseel,
postJobDescriptionHint,Uncategorised,Describe the issue (optional),مسئلہ بیان کریں (اختیاری),Masla bayan karein (optional),
postJobServiceAddress,Uncategorised,Service Address,سروس کا پتہ,Service ka pata,
postJobAddressHint,Uncategorised,"e.g. House 12, Street 5, DHA Phase 6, Karachi",مثلاً مکان 12، گلی 5، ڈی ایچ اے فیز 6، کراچی,"Maslan House 12, Street 5, DHA Phase 6, Karachi",
postJobAddLocationFirst,Uncategorised,Add your location to continue.,آگے بڑھنے کے لیے اپنی لوکیشن شامل کریں۔,Aage barhne ke liye apni location shamil karein.,
postJobVoiceAndPhotos,Uncategorised,Voice note & photos,وائس نوٹ اور تصاویر,Voice note aur photos,
postJobVoiceAttached,Uncategorised,Voice note attached,وائس نوٹ لگا دیا گیا,Voice note laga diya gaya,
postJobAttachmentCount,Uncategorised,{count} of 4 · Photos or 30-sec video,4 میں سے {count} · تصاویر یا 30 سیکنڈ کی ویڈیو,4 mein se {count} · Photos ya 30-sec video,Placeholders: {count}
postJobAttachmentsWillBeRemoved,Uncategorised,"{count, plural, =1{{count} existing attachment will be removed on save.} other{{count} existing attachments will be removed on save.}}",محفوظ کرنے پر {count} پرانی فائلیں ہٹا دی جائیں گی۔,Save karne par {count} purani files hata di jayengi.,Placeholders: {count} | ICU plural — keep the plural syntax intact
postJobTapToRecord,Uncategorised,Tap to record — describe the problem in your own words,ریکارڈ کرنے کے لیے دبائیں — مسئلہ اپنے الفاظ میں بتائیں,Record karne ke liye dabayein — masla apne alfaz mein batayein,
postJobService,Uncategorised,Service,سروس,Service,
postJobWhatDoYouNeed,Uncategorised,What do you need?,آپ کو کیا چاہیے؟,Aap ko kya chahiye?,
postJobChooseOneOption,Uncategorised,Choose one option,ایک آپشن چنیں,Ek option chunain,
postJobUnderstandingIsOurJob,Uncategorised,Understanding the problem is our job — not yours.,مسئلہ سمجھنا ہمارا کام ہے — آپ کا نہیں۔,Masla samajhna hamara kaam hai — aapka nahi.,
postJobStandardWork,Uncategorised,Standard work,اسٹینڈرڈ کام,Standard kaam,
postJobStandardWorkSubtitle,Uncategorised,Work and price are clear upfront.,کام اور قیمت پہلے سے واضح۔,Kaam aur qeemat pehle se clear.,
postJobOr,Uncategorised,OR,یا,YA PHIR,
postJobIKnowThePart,Uncategorised,I know the exact part,مجھے پرزہ بالکل معلوم ہے,Mujhe exact part pata hai,
postJobIKnowThePartSubtitle,Uncategorised,"Ustaads send their rate, you choose",استاد اپنا ریٹ بھیجیں گے، آپ چنیں,"Ustaad rate bhejenge, aap chunain",
postJobIKnowThePartWarning,Uncategorised,"Only choose this if you are completely sure about the part. If it turns out wrong, the Ustaad visit is wasted and a new rate will apply.",یہ صرف اسی صورت میں چنیں جب پرزے کا پورا یقین ہو۔ غلط نکلا تو استاد کا چکر ضائع جائے گا اور نیا ریٹ لگے گا۔,Sirf tab chunain jab part ka poora yaqeen ho. Ghalat nikla to Ustaad ka chakkar zaya jayega aur naya rate lagega.,
postJobSomethingIsBroken,Uncategorised,Something is broken,کچھ خراب ہے,Kuch kharab hai,
postJobDontKnowIssue,Uncategorised,I do not know what the problem is,مسئلہ کیا ہے، یہ معلوم نہیں,"Masla kya hai, ye pata nahi",
postJobInspectionFeeTitle,Uncategorised,Inspection Fee,انسپیکشن فیس,Inspection Fee,
postJobNothingOpensBeforeRate,Uncategorised,Nothing is opened before the rate is given — what is quoted is what is charged.,ریٹ بتانے سے پہلے کچھ نہیں کھلتا — جو کہا، وہی لیا۔,"Rate batane se pehle kuch nahi khulta — jo kaha, wohi liya.",
postJobChooseStandardService,Uncategorised,Choose a standard service,اسٹینڈرڈ سروس منتخب کریں,Standard service chunain,
postJobServicesUnavailable,Uncategorised,Unable to load services. Please go back and try again.,سروسز لوڈ نہیں ہو سکیں۔ واپس جا کر دوبارہ کوشش کریں۔,Services load nahi ho sakin. Wapas jaa kar dobara koshish karein.,
postJobSelectCategoryFirst,Uncategorised,Select a service category first.,پہلے سروس کیٹیگری منتخب کریں۔,Pehle service category chunain.,
postJobStandardServicesUnavailable,Uncategorised,Unable to load standard services.,اسٹینڈرڈ سروسز لوڈ نہیں ہو سکیں۔,Standard services load nahi ho sakin.,
postJobNoStandardServices,Uncategorised,No standard services are available for this service yet. Please choose another option above.,اس سروس کے لیے ابھی کوئی اسٹینڈرڈ سروس دستیاب نہیں۔ اوپر سے کوئی اور آپشن منتخب کریں۔,Is service ke liye abhi koi standard service available nahi. Ooper se koi aur option chunain.,
postJobMultiSelectHint,Uncategorised,You can choose more than one service.,آپ ایک سے زیادہ سروسز چن سکتے ہیں۔,Aap ek se zyada services chun sakte hain.,
postJobTotal,Uncategorised,Total,کل,Total,
postJobInspectionFeeLower,Uncategorised,Inspection fee,انسپیکشن فیس,Inspection fee,
postJobInspectionFeeLoadFailed,Uncategorised,Unable to load the inspection fee.,انسپیکشن فیس لوڈ نہیں ہو سکی۔,Inspection fee load nahi ho saki.,
postJobHowInspectionWorks,Uncategorised,How inspection works,انسپیکشن کیسے ہوتی ہے,Inspection kaise hoti hai,
postJobWhatDoYouSee,Uncategorised,What do you see? (optional),آپ کو کیا نظر آ رہا ہے؟ (اختیاری),Aap ko kya nazar aa raha hai? (optional),
postJobWhatDoYouSeeHint,Uncategorised,e.g. AC turns on but room stays hot…,مثلاً اے سی چلتا ہے مگر کمرہ گرم رہتا ہے…,Maslan AC chalta hai magar kamra garam rehta hai…,
postJobBack,Uncategorised,Back,پیچھے,Wapas,
postJobNext,Uncategorised,Next,آگے,Aage,
postJobStepAddress,Uncategorised,Address,پتہ,Pata,
postJobStepDetails,Uncategorised,Details,تفصیلات,Tafseelat,
postJobStepTimeSelection,Uncategorised,Time Selection,وقت کا انتخاب,Time ka intekhab,
postJobStepIndicator,Uncategorised,Step {current} of {total}  ·  {title},مرحلہ {total} میں سے {current}  ·  {title},Step {total} mein se {current}  ·  {title},"Placeholders: {current}, {title}, {total}"
clientHomeYourArea,Client,Your Area,آپ کا علاقہ,Aap ka ilaqa,
clientHomeSectionRepairs,Client,Repairs,مرمت,Marammat,
clientHomeSectionCleaning,Client,Cleaning,صفائی,Safai,
clientHomeSectionPainting,Client,Painting,پینٹنگ,Painting,
clientHomeSectionOutdoorVehicle,Client,Outdoor & Vehicle,باہر اور گاڑی,Bahar aur Gaari,
serviceAcTechnician,Uncategorised,AC Technician,اے سی ٹیکنیشن,AC Technician,
serviceElectrician,Uncategorised,Electrician,الیکٹریشن,Electrician,
servicePlumber,Uncategorised,Plumber,پلمبر,Plumber,
serviceCarpenter,Uncategorised,Carpenter,کارپینٹر,Carpenter,
serviceDeepCleaning,Uncategorised,Deep Cleaning,گہری صفائی,Deep Cleaning,
servicePestControl,Uncategorised,Pest Control,کیڑے مار سروس,Pest Control,
servicePainter,Uncategorised,Painter,پینٹر,Painter,
serviceGardening,Uncategorised,Gardening,باغبانی,Gardening,
serviceCarWash,Uncategorised,Car Wash,کار واش,Car Wash,
serviceMoversPackers,Uncategorised,Movers & Packers,مووَرز اینڈ پیکرز,Movers & Packers,
clientHomeNoServicesFound,Client,No services found,کوئی سروس نہیں ملی,Koi service nahi mili,
